year,category,prizeShare,fullName,gender,born,bornCountry,bornCity,age_received,organizationName,organizationCountry,organizationCity,,
2019,physics,4,Michel Mayor,male,1942,Switzerland,Lausanne,77,University of Geneva,Switzerland,Geneva,,
2019,physics,2,James Peebles,male,1935,Canada,Winnipeg,84,Princeton University,USA,Princeton NJ,,
2019,medicine,3,Gregg Semenza,male,1956,USA,New York NY,63,Johns Hopkins University,USA,Baltimore MD,,
2019,medicine,3,Peter Ratcliffe,male,1954,United Kingdom,Lancashire,65,University of Oxford,United Kingdom,Oxford,,
2019,medicine,3,William Kaelin,male,1957,USA,New York NY,62,Harvard Medical School,USA,Boston MA,,
2018,physics,4,Gerard Mourou,male,1944,France,Albertville,74,Ecole Polytechnique,France,Palaiseau,,
2018,literature,1,Olga Tokarczuk,female,1962,Poland,Sulechow,56,,,,,
2018,economics,2,Paul M. Romer,male,1955,USA,Denver CO,63,NYU Stern School of Business,USA,New York NY,,
2018,economics,2,William D. Nordhaus,male,1941,USA,Albuquerque NM,77,Yale University,USA,New Haven CT,,
2018,peace,2,Nadia Murad,female,1993,Iraq,Kojo,25,,,,,
2018,peace,2,Denis Mukwege,male,1955,Democratic Republic of the Congo,Bukavu,63,,,,,
2018,chemistry,4,Sir Gregory P. Winter,male,1951,United Kingdom,Leicester,67,MRC Laboratory of Molecular Biology,United Kingdom,Cambridge,,
2018,chemistry,4,George P. Smith,male,1941,USA,Norwalk CT,77,University of Missouri,USA,Columbia,,
2018,chemistry,2,Frances H. Arnold,female,1956,USA,Pittsburgh PA,62,California Institute of Technology (Caltech),USA,Pasadena CA,,
2018,physics,4,Donna Strickland,female,1959,Canada,Guelph,59,University of Waterloo,Canada,Waterloo,,
2018,physics,2,Arthur Ashkin,male,1922,USA,New York NY,96,Bell Laboratories,USA,Holmdel NJ,,
2018,medicine,2,Tasuku Honjo,male,1942,Japan,Kyoto,76,Kyoto University,Japan,Kyoto,,
2018,medicine,2,James P. Allison,male,1948,USA,Alice TX,70,Parker Institute for Cancer Immunotherapy,USA,San Francisco CA,,
2017,economics,1,Richard H. Thaler,male,1945,USA,East Orange NJ,72,University of Chicago,USA,Chicago IL,,
2017,peace,1,International Campaign to Abolish Nuclear Weapons ,organisation,2007,,,10,,,,,
2017,literature,1,Kazuo Ishiguro,male,1954,Japan,Nagasaki,63,,,,,
2017,chemistry,3,Richard Henderson,male,1945,Scotland,Edinburgh,72,MRC Laboratory of Molecular Biology,United Kingdom,Cambridge,,
2017,chemistry,3,Joachim Frank,male,1940,Germany,Siegen,77,Columbia University,USA,New York NY,,
2017,chemistry,3,Jacques Dubochet,male,1942,Switzerland,Aigle,75,University of Lausanne,Switzerland,Lausanne,,
2017,physics,4,Kip S. Thorne,male,1940,USA,Logan UT,77,LIGO/VIRGO Collaboration,,,,
2017,physics,4,Barry C. Barish,male,1936,USA,Omaha NE,81,LIGO/VIRGO Collaboration,,,,
2017,physics,2,Rainer Weiss,male,1932,Germany,Berlin,85,LIGO/VIRGO Collaboration,,,,
2017,medicine,3,Michael W. Young,male,1949,USA,Miami FL,68,Rockefeller University,USA,New York NY,,
2017,medicine,3,Michael Rosbash,male,1944,USA,Kansas City MO,73,Brandeis University,USA,Waltham MA,,
2017,medicine,3,Jeffrey C. Hall,male,1945,USA,New York NY,72,University of Maine,USA,Maine ME,,
2016,economics,2,Bengt Holmstrom,male,1949,Finland,Helsinki,67,Massachusetts Institute of Technology (MIT),USA,Cambridge MA,,
2016,peace,1,Juan Manuel Santos,male,1951,Colombia,Bogota,65,,,,,
2016,literature,1,Bob Dylan,male,1941,USA,Duluth MN,75,,,,,
2016,economics,2,Oliver Hart,male,1948,United Kingdom,London,68,Harvard University,USA,Cambridge MA,,
2016,chemistry,3,Bernard L. Feringa,male,1951,the Netherlands,Barger-Compascuum,65,University of Groningen,the Netherlands,Groningen,,
2016,chemistry,3,Sir J. Fraser Stoddart,male,1942,United Kingdom,Edinburgh,74,Northwestern University,USA,Evanston IL,,
2016,chemistry,3,Jean-Pierre Sauvage,male,1944,France,Paris,72,University of Strasbourg,France,Strasbourg,,
2016,physics,4,J. Michael Kosterlitz,male,1943,United Kingdom,Aberdeen,73,Brown University,USA,Providence RI,,
2016,physics,4,F. Duncan M. Haldane,male,1951,United Kingdom,London,65,Princeton University,USA,Princeton NJ,,
2016,physics,2,David J. Thouless,male,1934,United Kingdom,Bearsden,82,University of Washington,USA,Seattle WA,,
2016,medicine,1,Yoshinori Ohsumi,male,1945,Japan,Fukuoka,71,Tokyo Institute of Technology,Japan,Tokyo,,
2015,medicine,4,Satoshi Omura,male,1935,Japan,Yamanashi Prefecture,80,Kitasato University,Japan,Tokyo,,
2015,economics,1,Angus Deaton,male,1945,Scotland,Edinburgh,70,Princeton University,USA,Princeton NJ,,
2015,peace,1,National Dialogue Quartet ,organisation,2013,,,2,,,,,
2015,literature,1,Svetlana Alexievich,female,1948,Ukraine,Ivano-Frankivsk,67,,,,,
2015,chemistry,3,Aziz Sancar,male,1946,Turkey,Savur,69,University of North Carolina,USA,Chapel Hill NC,,
2015,chemistry,3,Paul Modrich,male,1946,USA,Raton NM,69,Howard Hughes Medical Institute,USA,Durham NC,,
2015,chemistry,3,Tomas Lindahl,male,1938,Sweden,Stockholm,77,Francis Crick Institute,United Kingdom,Hertfordshire,,
2015,physics,2,Arthur B. McDonald,male,1943,Canada,Sydney,72,Queen's University,Canada,Kingston,,
2015,physics,2,Takaaki Kajita,male,1959,Japan,Higashimatsuyama,56,University of Tokyo,Japan,Kashiwa,,
2015,medicine,2,Youyou Tu,female,1930,China,Zhejiang Ningbo,85,China Academy of Traditional Chinese Medicine,China,Beijing,,
2015,medicine,4,William C. Campbell,male,1930,Ireland,Ramelton,85,Drew University,USA,Madison NJ,,
2014,chemistry,3,Stefan W. Hell,male,1962,Romania,Arad,52,Max Planck Institute for Biophysical Chemistry,Germany,Gottingen,,
2014,medicine,4,May-Britt Moser,female,1963,Norway,Fosnavag,51,Norwegian University of Science and Technology (NTNU),Norway,Trondheim,,
2014,economics,1,Jean Tirole,male,1953,France,Troyes,61,Toulouse School of Economics (TSE),France,Toulouse,,
2014,peace,2,Malala Yousafzai,female,1997,Pakistan,Mingora,17,,,,,
2014,peace,2,Kailash Satyarthi,male,1954,India,Vidisha,60,,,,,
2014,literature,1,Patrick Modiano,male,1945,France,Paris,69,,,,,
2014,chemistry,3,William E. Moerner,male,1953,USA,Pleasanton CA,61,Stanford University,USA,Stanford CA,,
2014,chemistry,3,Eric Betzig,male,1960,USA,Ann Arbor MI,54,Janelia Research Campus Howard Hughes Medical Institute,USA,Ashburn VA,,
2014,physics,3,Shuji Nakamura,male,1954,Japan,Ikata,60,University of California,USA,Santa Barbara CA,,
2014,physics,3,Hiroshi Amano,male,1960,Japan,Hamamatsu,54,Nagoya University,Japan,Nagoya,,
2014,physics,3,Isamu Akasaki,male,1929,Japan,Chiran,85,Meijo University,Japan,Nagoya,,
2014,medicine,4,Edvard I. Moser,male,1962,Norway,Alesund,52,Norwegian University of Science and Technology (NTNU),Norway,Trondheim,,
2014,medicine,2,John O'Keefe,male,1939,USA,New York NY,75,University College,United Kingdom,London,,
2013,medicine,3,Thomas C. Sudhof,male,1955,Germany,Gottingen,58,Stanford University,USA,Stanford CA,,
2013,chemistry,3,Martin Karplus,male,1930,Austria,Vienna,83,Universite de Strasbourg,France,Strasbourg,,
2013,physics,2,Franois Englert,male,1932,Belgium,Etterbeek,81,Universite Libre de Bruxelles,Belgium,Brussels,,
2013,economics,3,Robert J. Shiller,male,1946,USA,Detroit MI,67,Yale University,USA,New Haven CT,,
2013,economics,3,Lars Peter Hansen,male,1952,USA,Urbana IL,61,University of Chicago,USA,Chicago IL,,
2013,economics,3,Eugene F. Fama,male,1939,USA,Boston MA,74,University of Chicago,USA,Chicago IL,,
2013,peace,1,Organisation for the Prohibition of Chemical Weapons ,organisation,1997,,,16,,,,,
2013,literature,1,Alice Munro,female,1931,Canada,Wingham,82,,,,,
2013,chemistry,3,Arieh Warshel,male,1940,Israel,Kibbutz Sde Nahum,73,University of Southern California,USA,Los Angeles CA,,
2013,chemistry,3,Michael Levitt,male,1947,South Africa,Pretoria,66,Stanford University School of Medicine,USA,Stanford CA,,
